time,balance
1748603700000,10000.0
1748618100000,9799.883925291262
1748618100000,9599.27940936955
1748621700000,9942.100579597534
1748621700000,10271.320713866562
1748622600000,10600.659460361396
1748622600000,10929.112758085334
1748622600000,11257.07925522589
1748622600000,11609.67477999385
1748628900000,11379.424572767071
1748628900000,11148.874131802442
1748628900000,10918.354367287895
1748628900000,10687.292298063789
1748628900000,10455.542737352962
1748628900000,10223.13074198701
1748628900000,9990.180288323503
1748637000000,9799.847385584495
1748637900000,9598.786729539854
1748637900000,9405.72196349202
1748637900000,9219.142930960727
1748643300000,9557.636156813636
1748643300000,9858.640311539393
1748644200000,10202.006995400707
1748644200000,10543.326118234709
1748644200000,10884.041954798819
1748645100000,10662.314951575245
1748646000000,10963.569538325039
1748649600000,10743.709527002504
1748649600000,10524.071540532617
1748652300000,10314.050864098523
1748655000000,10677.138441675585
1748655000000,11051.876154382822
1748655000000,11428.408297447748
1748655000000,11789.791411128093
1748655000000,12152.551802728849
1748655000000,12508.276882318809
1748655000000,12863.825876537205
1748657700000,12609.91292307624
1748662200000,12360.397504079307
1748663100000,12110.132177439216
1748664900000,11856.708645724582
1748664900000,11607.829224294781
1748664900000,11358.415734879927
1748664900000,11108.111327025264
1748676600000,10987.396970315434
1748679300000,10864.96518886488
1748681100000,10621.857876951453
1748681100000,10407.26840057342
1748684700000,10267.059825668683
1748685600000,10034.549043566196
1748685600000,9812.083068004384
1748689200000,9912.413504264856
1748809800000,9731.128757909175
1748877300000,10032.899427021577
1748888100000,10330.201764958265
1748888100000,10634.470666025234
1748888100000,10940.074104255065
1748888100000,11248.243194448647
1748889900000,11036.441847407546
1748890800000,10848.714846275874
1748890800000,10665.162664363894
1748892600000,10464.28084330798
1748892600000,10267.871102467947
1748892600000,10075.413714282127
1748892600000,9882.918177238165
1748892600000,9690.115496645867
1748892600000,9501.020702238568
1748892600000,9288.853097205074
1748892600000,9085.86310503731
1748899800000,9197.152990355726
1748900700000,9462.965338887148
1748901600000,9772.345139562114
1748901600000,10072.980991966662
1748901600000,10389.285824597926
1748942100000,10420.227963057221
1748943000000,10606.711721574775
1748967300000,10412.238892234878
1748989800000,10210.645819857044
1748998800000,10012.197948060986
1748999700000,9818.007949007719
1748999700000,9631.342420450965
