time,balance
1747592700000,1000.0
2025-05-18 19:05:00,1005.85
2025-05-18 19:10:00,1011.7342225
2025-05-18 20:05:00,1011.582462366625
2025-05-18 20:45:00,1011.43072499727
2025-05-18 20:55:00,1011.2790103885204
2025-05-18 21:50:00,1011.1273185369621
2025-05-18 22:15:00,1010.9756494391816
2025-05-18 22:20:00,1009.307539617607
2025-05-19 01:50:00,1009.1561434866643
2025-05-19 01:55:00,1009.0047700651413
2025-05-19 02:00:00,1008.8534193496315
2025-05-19 02:15:00,1008.702091336729
2025-05-19 02:20:00,1008.5507860230285
2025-05-19 03:05:00,1008.3995034051251
2025-05-19 03:10:00,1008.2482434796143
2025-05-19 03:15:00,1008.0970062430923
2025-05-19 03:20:00,1007.9457916921558
2025-05-19 03:30:00,1007.794599823402
2025-05-19 03:35:00,1007.6434306334285
2025-05-19 03:40:00,1007.4922841188335
2025-05-19 03:45:00,1007.3411602762156
2025-05-19 03:50:00,1007.1900591021742
2025-05-19 03:55:00,1007.0389805933089
2025-05-19 04:00:00,1006.8879247462199
2025-05-19 04:05:00,1006.736891557508
2025-05-19 04:20:00,1006.5858810237744
2025-05-19 04:25:00,1006.4348931416208
2025-05-19 04:30:00,1006.2839279076496
2025-05-19 04:35:00,1006.1329853184635
2025-05-19 04:40:00,1005.9820653706657
2025-05-19 04:45:00,1005.8311680608601
2025-05-19 04:50:00,1005.680293385651
2025-05-19 04:55:00,1005.5294413416432
2025-05-19 05:00:00,1005.378611925442
2025-05-19 05:05:00,1005.2278051336532
2025-05-19 05:10:00,1005.0770209628831
2025-05-19 05:15:00,1004.9262594097387
2025-05-19 05:20:00,1004.7755204708272
2025-05-19 05:25:00,1004.6248041427566
2025-05-19 05:30:00,1004.4741104221351
2025-05-19 05:35:00,1004.3234393055718
2025-05-19 05:40:00,1004.172790789676
2025-05-19 05:45:00,1004.0221648710576
2025-05-19 05:50:00,1003.8715615463269
2025-05-19 05:55:00,1003.7209808120949
2025-05-19 06:00:00,1003.5704226649731
2025-05-19 06:05:00,1001.9145314675759
2025-05-19 06:20:00,1001.7642442878557
2025-05-19 06:25:00,1001.6139796512125
2025-05-19 06:35:00,1001.4637375542649
2025-05-19 06:40:00,1001.3135179936318
2025-05-19 06:45:00,1001.1633209659327
2025-05-19 06:50:00,1001.0131464677878
2025-05-19 06:55:00,1000.8629944958176
2025-05-19 07:00:00,1000.7128650466432
2025-05-19 07:05:00,999.0616888193163
2025-05-19 08:45:00,998.9118295659933
2025-05-19 08:50:00,998.7619927915584
2025-05-19 08:55:00,998.6121784926397
2025-05-19 09:00:00,998.4623866658658
2025-05-19 09:05:00,998.3126173078659
2025-05-19 09:10:00,998.1628704152697
2025-05-19 09:15:00,998.0131459847074
2025-05-19 09:20:00,997.8634440128097
2025-05-19 09:30:00,997.7137644962078
2025-05-19 09:35:00,997.5641074315333
2025-05-19 09:40:00,997.4144728154185
2025-05-19 09:50:00,997.2648606444963
2025-05-19 09:55:00,997.1152709153996
2025-05-19 10:00:00,996.9657036247623
2025-05-19 10:05:00,996.8161587692186
2025-05-19 10:10:00,996.6666363454033
2025-05-19 10:15:00,995.0221363954333
2025-05-19 10:50:00,994.872883074974
2025-05-19 10:55:00,994.7236521425127
2025-05-19 11:00:00,994.5744435946914
2025-05-19 11:10:00,994.4252574281522
2025-05-19 11:15:00,994.276093639538
2025-05-19 11:25:00,994.126952225492
2025-05-19 11:35:00,993.9778331826582
2025-05-19 12:25:00,993.8287365076808
2025-05-19 12:35:00,993.6796621972046
2025-05-19 12:40:00,993.5306102478751
2025-05-19 12:45:00,993.3815806563379
2025-05-19 12:50:00,993.2325734192394
2025-05-19 12:55:00,993.0835885332266
2025-05-19 13:00:00,991.4450006121467
2025-05-19 13:10:00,991.2962838620549
2025-05-19 13:15:00,991.1475894194756
2025-05-19 13:25:00,990.9989172810626
2025-05-19 13:30:00,989.3637690675489
2025-05-19 18:35:00,987.7313188485874
2025-05-19 18:55:00,987.5831591507601
2025-05-19 19:10:00,987.4350216768876
2025-05-19 19:15:00,985.8057538911207
2025-05-19 19:25:00,985.6578830280371
2025-05-19 19:30:00,984.0315475210408
2025-05-19 20:15:00,983.8839427889127
2025-05-19 20:20:00,982.260534283311
2025-05-19 21:30:00,980.6398044017435
2025-05-19 22:15:00,980.4927084310832
2025-05-19 22:20:00,980.3456345248186
2025-05-19 22:25:00,980.1985826796399
2025-05-19 22:30:00,980.051552892238
2025-05-19 22:35:00,979.9045451593041
2025-05-19 22:40:00,979.7575594775302
2025-05-20 02:05:00,978.1409595043923
2025-05-20 03:05:00,977.9942383604666
2025-05-20 03:10:00,977.8475392247126
2025-05-20 03:15:00,977.7008620938288
2025-05-20 08:15:00,977.5542069645147
2025-05-20 08:50:00,977.40757383347
2025-05-20 08:55:00,977.260962697395
2025-05-20 09:00:00,977.1143735529904
2025-05-20 09:05:00,976.9678063969575
2025-05-20 09:10:00,976.8212612259979
2025-05-20 09:15:00,976.674738036814
2025-05-20 09:20:00,976.5282368261085
2025-05-20 09:25:00,976.3817575905846
2025-05-20 09:30:00,976.235300326946
2025-05-20 09:35:00,974.6245120814066
2025-05-20 09:50:00,974.4783184045943
2025-05-20 09:55:00,974.3321466568336
2025-05-20 10:05:00,972.7244986148498
2025-05-20 10:15:00,972.5785899400576
2025-05-20 10:20:00,972.4327031515666
2025-05-20 10:25:00,972.2868382460938
2025-05-20 10:30:00,972.1409952203569
2025-05-20 10:35:00,971.9951740710738
2025-05-20 10:40:00,971.8493747949632
2025-05-20 10:45:00,971.7035973887439
