config_id,time,direction,entry_price,exit_price,atr,sl,tp,rr_ratio,outcome,gain_pct,gain_usd,commission,balance,position_size,signal_strength,signal_passed_filter,rsi,adx,cci,macd,macd_signal,ema_12,ema_26,sma_50,sma_200,rsi_14,ema_20,ema_50,macd_line,macd_histogram,macd_crossover,sma_20,rsi_21,ema_200,rsi_28,ema_9,ema_21
trend_basic_001,1747821000000,SHORT,1.3007,1.295,0.01074776388539383,1.3114477638853939,1.2577089444584246,4.0,OPEN,0.44015444015443883,1.3722923001133538,0.40343212909121456,808.2365504825424,403.43212909121456,25,False,,8.856834419652959,,,-0.003131701804935702,,,,,45.435748180526915,1.305404048561708,1.3083844677650451,-0.0026358165565387726,0.0004958852483969295,0.0,,,,,,
trend_basic_001,1747821300000,SHORT,1.295,1.2883,0.010444352179294267,1.3054443521792942,1.2532225912828228,4.0,OPEN,0.520065202204445,1.6975602500373612,0.4041182752412712,809.9341107325797,404.1182752412712,25,False,,8.83745281224994,,,-0.0031372498345748736,,,,,41.88365071982804,1.3044131867939264,1.30785958667622,-0.0031594419531315587,-2.2192118556685174e-05,-1.0,,,,,,
trend_basic_001,1747821600000,SHORT,1.2883,1.2886,0.010619755595058957,1.298919755595059,1.2458209776197642,4.0,OPEN,-0.023281080242121277,-0.4992477604802715,0.40496705536628985,809.4348629720995,404.96705536628986,25,False,,10.055276203592351,,,-0.003323431401448893,,,,,38.11198346630481,1.302878597575457,1.3070925440614662,-0.004068157668944972,-0.0007447262674960785,0.0,,,,,,
trend_basic_001,1747821900000,SHORT,1.2886,1.2876,0.010375487338269039,1.298975487338269,1.2470980506469238,4.0,OPEN,0.0776638707673083,-0.09039820852395464,0.40471743148604983,809.3444647635755,404.7174314860498,25,False,,11.293774816726073,,,-0.0036007095274112975,,,,,38.37955800565851,1.3015187311396992,1.3063673462551342,-0.004709822031260913,-0.0011091125038496154,0.0,,,,,,
trend_basic_001,1747822200000,SHORT,1.2876,1.2835,0.010012952528392684,1.2976129525283928,1.2475481898864293,4.0,OPEN,0.3194390338917108,0.8880088371666139,0.40467223238178773,810.2324736007421,404.67223238178775,25,False,,11.930903955616296,,,-0.003928297504826157,,,,,37.79299727114534,1.300193137697823,1.3056313718921877,-0.005238649414485597,-0.0013103519096594393,0.0,,,,,,
trend_basic_001,1747822500000,SHORT,1.2835,1.2789,0.009833455919221783,1.2933334559192218,1.2441661763231129,4.0,OPEN,0.35968410352646973,1.0520224677752137,0.40511623680037107,811.2844960685173,405.11623680037104,25,False,,12.94924087584918,,,-0.004326705740164811,,,,,35.40390602193662,1.2986033150599352,1.3047634749552393,-0.0059203386815194214,-0.0015936329413546108,0.0,,,,,,
trend_basic_001,1747822800000,SHORT,1.2789,1.2816,0.009702494782134514,1.2886024947821344,1.2400900208714618,4.0,OPEN,-0.21067415730338102,-1.260225635746924,0.40564224803425875,810.0242704327704,405.6422480342587,25,False,,14.538643741699072,,,-0.004812146398924715,,,,,32.89164019670905,1.296726808863751,1.303749221035426,-0.006753909033964334,-0.0019417626350396186,0.0,,,,,,
trend_basic_001,1747823100000,SHORT,1.2816,1.2881,0.009380888011982056,1.2909808880119822,1.2440764479520718,4.0,OPEN,-0.5046192065833344,-2.44878115851153,0.4050121352163853,807.5754892742589,405.0121352163853,25,False,,16.01451783141683,,,-0.005272644914984803,,,,,35.77252489380598,1.2952861604005366,1.302880624132076,-0.007114638979225152,-0.0018419940642403487,0.0,,,,,,
trend_basic_001,1747823400000,SHORT,1.2881,1.2912,0.009417967439697625,1.2975179674396977,1.2504281302412095,4.0,OPEN,-0.24008674101609895,-1.3732285813588214,0.40378774463712946,806.2022606929,403.78774463712944,25,False,,16.248258831460504,,,-0.005577648958049287,,,,,42.20494245137538,1.294601764171914,1.3023009918131712,-0.006797665130307218,-0.001220016172257931,0.0,,,,,,
trend_basic_001,1747823700000,SHORT,1.2912,1.2868,0.009202398336862079,1.300402398336862,1.2543904066525515,4.0,OPEN,0.34193347839601707,0.9752365861008294,0.40310113034645007,807.1774972790008,403.1011303464501,25,False,,15.834472977281985,,,-0.005707031982259495,,,,,45.03238193064949,1.2942777866317319,1.30186565880089,-0.006224564079100325,-0.0005175320968408307,0.0,,,,,,
trend_basic_001,1747824000000,SHORT,1.2868,1.2848,0.008959369884229074,1.295759369884229,1.2509625204630836,4.0,OPEN,0.15566625155665204,0.22466272807200843,0.4035887486395004,807.4021600070728,403.5887486395004,25,False,,15.487341742080067,,,-0.005776748632169924,,,,,41.89921073430999,1.2935656164763287,1.3012748486518355,-0.00605561523181164,-0.00027886659964171563,0.0,,,,,,
trend_basic_001,1747824300000,SHORT,1.2848,1.2903,0.008605129178212712,1.2934051291782127,1.250379483287149,4.0,OPEN,-0.4262574595055413,-2.124507047623043,0.4037010800035364,805.2776529594497,403.7010800035364,25,False,,15.294706667908187,,,-0.005824155345869418,,,,,40.51920120912036,1.2927307958595355,1.3006287761556852,-0.006013782200667395,-0.00018962685479797636,0.0,,,,,,
trend_basic_001,1747824600000,SHORT,1.2903,1.2828,0.008483334236911796,1.2987833342369117,1.256366663052353,4.0,OPEN,0.5846585594013076,1.951423536006965,0.4026388264797249,807.2290764954566,402.63882647972486,25,False,,14.71238444179704,,,-0.005754069769611129,,,,,45.80546813026151,1.2924992914919606,1.3002237261103642,-0.005473727464577971,0.00028034230503315785,1.0,,,,,,
trend_basic_001,1747824900000,SHORT,1.2828,1.2912488103628466,0.008448810362846669,1.2912488103628466,1.2490047585486133,4.0,SL,-0.6543131188227358,-3.0445174114784237,0.40361453824772836,804.1845590839782,403.6145382477284,25,False,,14.456918649652774,,,-0.005720559734654133,,,,,40.51739913356851,1.2915755494451073,1.2995404427334871,-0.005586519594826145,0.00013404013982798793,0.0,,,,,,
trend_basic_001,1747825200000,SHORT,1.2928,1.3014096096226433,0.008609609622643346,1.3014096096226433,1.2583615615094266,4.0,SL,-0.6615603234357392,-3.0621752645901097,0.4020922795419892,801.1223838193881,402.09227954198917,25,False,,13.65610750770115,,,-0.005539148719474255,,,,,48.975652106045935,1.2916921637836685,1.2992761116458995,-0.004813504658754741,0.0007256440607195137,0.0,,,,,,
trend_basic_001,1747825500000,SHORT,1.3046,1.3134946375067402,0.008894637506740246,1.3134946375067402,1.269021449973039,4.0,SL,-0.6771734922057959,-3.11305540358573,0.40056119190969414,798.0093284158024,400.5611919096941,25,False,,14.000392101584932,,,-0.005073659151743695,,,,,56.78465213191588,1.2929214815185572,1.2994848915813544,-0.0032117008808214553,0.0018619582709222399,0.0,,,,,,
trend_basic_001,1747825800000,SHORT,1.3121,1.3212307348276875,0.00913073482768737,1.3212307348276875,1.2755770606892505,4.0,SL,-0.6910779916785903,-3.156438084319768,0.3990046642079012,794.8528903314826,399.0046642079012,25,False,,15.262456731574426,,,-0.004323294367955255,,,,,60.88247574976811,1.2947480070882185,1.299979601715419,-0.0013218352328014937,0.003001459135153761,0.0,,,,,,
trend_basic_001,1747832700000,SHORT,1.2932,1.288,0.01036596478596556,1.3035659647859654,1.2517361408561376,4.0,OPEN,0.4037267080745144,1.2070902589194712,0.3974264451657413,796.0599805904021,397.4264451657413,25,False,,13.854411227919986,,,0.0005261191456969882,,,,,40.47116278795288,1.306891812197529,1.307073320911229,-0.0023451238762364213,-0.0028712430219334094,0.0,,,,,,
trend_basic_001,1747833000000,SHORT,1.288,1.2948,0.010211253015539448,1.2982112530155394,1.2471549879378423,4.0,OPEN,-0.5251776336113623,-2.488394474391073,0.3980299902952011,793.5715861160111,398.02999029520106,25,False,,14.333968921031238,,,-0.0002824730953221551,,,,,37.800830102939784,1.3050925919882406,1.3063253475421612,-0.003516842059398728,-0.003234368964076573,0.0,,,,,,
