symbol,interval,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
ETHFIUSDT,5m,1746737400000,0.7179,0.7275,0.7179,0.7252,1468225.6,1746737699999,1061317.95675,5121,894147.5,646615.88193
ETHFIUSDT,5m,1746737700000,0.7253,0.7311,0.7201,0.725,1173786.4,1746737999999,851859.85293,4556,608724.4,442024.52233
ETHFIUSDT,5m,1746738000000,0.725,0.7259,0.7186,0.7208,459130.7,1746738299999,331081.4824,2036,169967.3,122603.59854
