open_time,open,high,low,close,volume,volatility_band_width,bollinger_upper,bollinger_middle,bollinger_lower,bollinger_width,bollinger_pct_b,atr_14,atr_14_percent,atr_20,atr_20_percent,atr,atr_percent
1747592700000,1.2971,1.3015,1.2891,1.3013,595877.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747593000000,1.3012,1.3015,1.2881,1.2922,637402.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747593300000,1.2921,1.296,1.2874,1.293,429020.7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747593600000,1.293,1.2965,1.2882,1.2884,376013.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747593900000,1.2883,1.2911,1.2756,1.2794,541293.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747594200000,1.2793,1.2829,1.2743,1.2808,707232.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747594500000,1.2806,1.2841,1.2759,1.2823,360882.3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747594800000,1.282,1.2916,1.2804,1.2835,461154.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747595100000,1.2834,1.289,1.2776,1.2885,370186.7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747595400000,1.2886,1.2891,1.2846,1.2863,309959.6,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747595700000,1.2861,1.2872,1.2793,1.2815,353021.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747596000000,1.2816,1.2933,1.277,1.293,399593.3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747596300000,1.293,1.2957,1.29,1.2915,425491.7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1747596600000,1.2913,1.2913,1.2636,1.2686,1152953.0,,,,,,,0.011421428571428551,0.9003175604153044,0.0,0.0,0.011421428571428551,0.9003175604153044
1747596900000,1.2685,1.2757,1.2672,1.2692,479715.8,,,,,,,0.011212755102040794,0.8834506068421677,0.0,0.0,0.011212755102040794,0.8834506068421677
