category,indicator,min,max,mean,median,std,null_percent
Trend,ema_9,1.1550881416390015,1.4260476665681099,1.2832798195358948,1.2773848947604525,0.06097891545354027,0.39215686274509803
Trend,ema_21,1.1582819891869336,1.4174690845759859,1.2836400068050324,1.276585545861523,0.060013155171835246,0.9803921568627451
Trend,ema_50,1.1626750972610056,1.4007765303884883,1.2846227811518907,1.2781311883692625,0.05817333375427773,2.401960784313726
Momentum,macd_signal,-0.024394344973466753,0.018675407894147334,-0.0003752368232247198,-0.0008150486273765466,0.005654491781986323,1.6176470588235297
Momentum,rsi_14,13.965787853592147,83.44928592732535,48.9903608359112,48.29772864699468,10.021814708889561,0.6372549019607843
Momentum,rsi_28,25.58676533035944,74.82892948310091,49.083120418614115,48.66187229037657,6.473553330188216,1.3235294117647058
Momentum,macd_line,-0.029119794179674807,0.022474039884577968,-0.0003857784059688103,-0.0008767952016133229,0.006204592387788941,1.2254901960784315
Momentum,macd_histogram,-0.013218004479081117,0.008164519042314541,2.147766281566582e-05,4.7577496366499615e-05,0.0022740402423336538,1.6176470588235297
Momentum,macd_crossover,-1.0,1.0,-0.0004901960784313725,0.0,0.28446753802198393,0.0
Volatility,bollinger_upper,1.1653732594067172,1.4568857464805052,1.3040343996506514,1.3005843650580515,0.06590901117696918,0.9803921568627451
Volatility,bollinger_middle,1.1576190476190478,1.4192095238095237,1.2836085431400284,1.276161904761905,0.060426146944653356,0.9803921568627451
Volatility,bollinger_lower,1.1444604861278467,1.3987776817240383,1.2631826866294054,1.255441708065966,0.057321688458743233,0.9803921568627451
Volatility,bollinger_width,0.6323399779924496,15.47792356062124,3.156962833082723,2.622580288136416,1.916132672576035,0.9803921568627451
Volatility,bollinger_pct_b,-0.3299544685655494,1.4345411908868735,0.4842462810136765,0.45762444071224795,0.3219147098413629,0.9803921568627451
Volatility,atr_14,0.0,0.02048327391605176,0.009599704292303874,0.009493167139067286,0.003108385539206151,0.0
Volatility,atr_14_percent,0.0,1.595519077430422,0.7434568713300604,0.7403881488106254,0.22576881964295545,0.0
Volatility,atr_20,0.0,0.01784462636653136,0.009583160109560496,0.009673090508618542,0.0029675603552380215,0.0
Volatility,atr_20_percent,0.0,1.3899849171624366,0.7422871349223475,0.7474992182544924,0.214996698112075,0.0
Volatility,atr,0.0,0.02048327391605176,0.009599704292303874,0.009493167139067286,0.003108385539206151,0.0
Volatility,atr_percent,0.0,1.595519077430422,0.7434568713300604,0.7403881488106254,0.22576881964295545,0.0
Volume,volume,40289.5,5757650.3,442704.63269607833,338926.05,413653.2466951894,0.0
Volume,quote_asset_volume,49455.08929,7337412.98293,574636.795056446,434648.74884,545292.7786885292,0.0
Volume,taker_buy_base_volume,17947.7,2391827.4,214137.78509803922,162143.2,195125.64114841988,0.0
Volume,taker_buy_quote_volume,22034.82685,3069075.47509,277924.3356886078,209250.38480499998,257490.31464667202,0.0
Regime,regime_duration,0.0,127.0,27.765686274509804,19.0,26.14546021337382,0.0
Regime,regime_strength,0.0,100.0,71.40980392156862,100.0,37.697405240993064,0.0
Other,adx,0.0,47.04167934584287,18.842058008089243,16.726172132713693,8.0714263664194,0.0
Other,di_pos,0.0,43.44784903199688,20.06100431718896,19.52121875541124,5.963290806688892,0.0
Other,di_neg,0.0,47.226713073314855,21.331797804268138,21.158535995070668,5.947475342032921,0.0
