open_time,open,high,low,close,volume,super_trend,volume_sma,trend_direction,ema_9,ema_21,ema_50
1747592700000,1.2971,1.3015,1.2891,1.3013,595877.8,,,,,,
1747593000000,1.3012,1.3015,1.2881,1.2922,637402.0,,,,,,
1747593300000,1.2921,1.296,1.2874,1.293,429020.7,,,,,,
1747593600000,1.293,1.2965,1.2882,1.2884,376013.8,,,,,,
1747593900000,1.2883,1.2911,1.2756,1.2794,541293.5,,,,,,
1747594200000,1.2793,1.2829,1.2743,1.2808,707232.5,,,,,,
1747594500000,1.2806,1.2841,1.2759,1.2823,360882.3,,,,,,
1747594800000,1.282,1.2916,1.2804,1.2835,461154.8,,,,,,
1747595100000,1.2834,1.289,1.2776,1.2885,370186.7,,,,1.2879044968960005,,
1747595400000,1.2886,1.2891,1.2846,1.2863,309959.6,,,,1.2875835975168004,,
1747595700000,1.2861,1.2872,1.2793,1.2815,353021.8,,,,1.2863668780134405,,
1747596000000,1.2816,1.2933,1.277,1.293,399593.3,,,,1.2876935024107525,,
1747596300000,1.293,1.2957,1.29,1.2915,425491.7,,,,1.2884548019286022,,
1747596600000,1.2913,1.2913,1.2636,1.2686,1152953.0,,,,1.2844838415428819,,
1747596900000,1.2685,1.2757,1.2672,1.2692,479715.8,,,,1.2814270732343056,,
1747597200000,1.2691,1.271,1.2531,1.2647,1627839.3,,,,1.2780816585874446,,
1747597500000,1.2644,1.2705,1.2608,1.2636,427204.6,,,,1.2751853268699558,,
1747597800000,1.2633,1.2666,1.2488,1.2528,1078843.6,,,,1.2707082614959646,,
1747598100000,1.2529,1.2585,1.2491,1.2555,505054.7,,,,1.2676666091967719,,
1747598400000,1.2555,1.2589,1.2315,1.2467,2807902.6,,,,1.2634732873574175,,
1747598700000,1.2467,1.2554,1.2341,1.2531,1290559.2,,,,1.261398629885934,1.273488283010149,
1747599000000,1.2532,1.254,1.2423,1.2452,635883.7,,,,1.2581589039087473,1.2709166209183174,
1747599300000,1.245,1.2516,1.2424,1.249,549480.6,,,,1.256327123126998,1.268924200834834,
1747599600000,1.2491,1.2517,1.2424,1.243,626617.5,,,,1.2536616985015985,1.2665674553043946,
1747599900000,1.243,1.2518,1.2406,1.2471,471396.5,,,,1.2523493588012788,1.2647976866403587,
1747600200000,1.2473,1.2484,1.2374,1.2434,666136.3,,,,1.250559487041023,1.262852442400326,
1747600500000,1.2438,1.2572,1.2424,1.254,547078.9,,,,1.2512475896328186,1.2620476749093872,
1747600800000,1.2539,1.2609,1.2486,1.2589,511403.8,,,,1.2527780717062549,1.2617615226448975,
1747601100000,1.259,1.2689,1.2579,1.2638,708391.4,,,,1.254982457365004,1.2619468387680886,
1747601400000,1.2637,1.2637,1.2544,1.2547,627501.4,,,,1.2549259658920031,1.2612880352437168,
1747601700000,1.2548,1.2644,1.2543,1.2609,335968.4,,,,1.2561207727136026,1.2612527593124698,
1747602000000,1.261,1.2828,1.2608,1.2812,869713.8,,,,1.261136618170882,1.263066144829518,
1747602300000,1.2813,1.2932,1.2809,1.2885,922380.5,,,,1.2666092945367058,1.2653783134813799,
1747602600000,1.2884,1.2901,1.2818,1.2875,715622.4,,,,1.2707874356293647,1.2673893758921635,
1747602900000,1.2876,1.2919,1.2827,1.2874,575142.3,,,,1.274109948503492,1.2692085235383304,
1747603200000,1.2876,1.299,1.2864,1.2975,649135.6,,,,1.2787879588027935,1.2717804759439366,
1747603500000,1.2976,1.3033,1.2951,1.3018,522358.5,,,,1.2833903670422349,1.274509523585397,
1747603800000,1.3016,1.315,1.2999,1.3039,950749.1,,,,1.287492293633788,1.2771813850776335,
1747604100000,1.3038,1.3142,1.2956,1.3109,506652.0,,,,1.2921738349070304,1.2802467137069395,
1747604400000,1.3109,1.3138,1.3051,1.3132,310905.0,,,,1.2963790679256244,1.2832424670063087,
1747604700000,1.3128,1.3176,1.3086,1.3153,270808.1,,,,1.3001632543404995,1.2861567881875533,
1747605000000,1.3153,1.3155,1.3014,1.309,424538.1,,,,1.3019306034723996,1.2882334438068666,
1747605300000,1.3094,1.3107,1.3027,1.3055,272881.4,,,,1.3026444827779198,1.289803130733515,
1747605600000,1.3056,1.3093,1.2876,1.2944,1181382.4,,,,1.300995586222336,1.290221027939559,
